Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Recording monitor latency	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Average calibration accuracy (pixels)	Average calibration precision SD (pixels)	Average calibration precision RMS (pixels)	Average validation accuracy (mm)	Average validation precision SD (mm)	Average validation precision RMS (mm)	Average validation accuracy (degrees)	Average validation precision SD (degrees)	Average validation precision RMS (degrees)	Average validation accuracy (pixels)	Average validation precision SD (pixels)	Average validation precision RMS (pixels)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Presented Stimulus name	Presented Media name	Presented Media width	Presented Media height	Presented Media position X (DACSpx)	Presented Media position Y (DACSpx)	Original Media width	Original Media height	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y	Fixation point X (MCSnorm)	Fixation point Y (MCSnorm)	Client area position X (DACSpx)	Client area position Y (DACSpx)	Viewport position X	Viewport position Y	Viewport width	Viewport height	Full page width	Full page height	Mouse position X	Mouse position Y
0	4576137600		Project19	23.01.2026	Participant2	Recording2	23.01.2026	23.01.2026	14:05:30.513	13:05:30.513	238570	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	1.6	1.6	0.07	0.14	0.14	3	6	6	4.7	3.3	3.3	0.44	0.32	0.31	17	12	12		RecordingStart																																																										
69	4576137669	Mouse	Project19	23.01.2026	Participant2	Recording2	23.01.2026	23.01.2026	14:05:30.513	13:05:30.513	238570	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	1.6	1.6	0.07	0.14	0.14	3	6	6	4.7	3.3	3.3	0.44	0.32	0.31	17	12	12																																																											-87	1086
85	4576137685	Mouse	Project19	23.01.2026	Participant2	Recording2	23.01.2026	23.01.2026	14:05:30.513	13:05:30.513	238570	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	1.6	1.6	0.07	0.14	0.14	3	6	6	4.7	3.3	3.3	0.44	0.32	0.31	17	12	12																																																											-92	1082
101	4576137701	Mouse	Project19	23.01.2026	Participant2	Recording2	23.01.2026	23.01.2026	14:05:30.513	13:05:30.513	238570	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	1.6	1.6	0.07	0.14	0.14	3	6	6	4.7	3.3	3.3	0.44	0.32	0.31	17	12	12																																																											-110	1071
107	4576137707		Project19	23.01.2026	Participant2	Recording2	23.01.2026	23.01.2026	14:05:30.513	13:05:30.513	238570	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	1.6	1.6	0.07	0.14	0.14	3	6	6	4.7	3.3	3.3	0.44	0.32	0.31	17	12	12		Eye tracker TTL in	255																																									EyesNotFound	175	1														
107	4576137707	Eye Tracker	Project19	23.01.2026	Participant2	Recording2	23.01.2026	23.01.2026	14:05:30.513	13:05:30.513	238570	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	1.6	1.6	0.07	0.14	0.14	3	6	6	4.7	3.3	3.3	0.44	0.32	0.31	17	12	12	2679481008																	Invalid	Invalid																									EyesNotFound	175	1														
115	4576137716	Eye Tracker	Project19	23.01.2026	Participant2	Recording2	23.01.2026	23.01.2026	14:05:30.513	13:05:30.513	238570	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	1.6	1.6	0.07	0.14	0.14	3	6	6	4.7	3.3	3.3	0.44	0.32	0.31	17	12	12	2679489341																	Invalid	Invalid																									EyesNotFound	175	1														
117	4576137717	Mouse	Project19	23.01.2026	Participant2	Recording2	23.01.2026	23.01.2026	14:05:30.513	13:05:30.513	238570	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	1.6	1.6	0.07	0.14	0.14	3	6	6	4.7	3.3	3.3	0.44	0.32	0.31	17	12	12																																												EyesNotFound	175	1													-141	1058
124	4576137724	Eye Tracker	Project19	23.01.2026	Participant2	Recording2	23.01.2026	23.01.2026	14:05:30.513	13:05:30.513	238570	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	1.6	1.6	0.07	0.14	0.14	3	6	6	4.7	3.3	3.3	0.44	0.32	0.31	17	12	12	2679497674																	Invalid	Invalid																									EyesNotFound	175	1														
132	4576137732	Eye Tracker	Project19	23.01.2026	Participant2	Recording2	23.01.2026	23.01.2026	14:05:30.513	13:05:30.513	238570	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.7	1.6	1.6	0.07	0.14	0.14	3	6	6	4.7	3.3	3.3	0.44	0.32	0.31	17	12	12	2679506008																	Invalid	Invalid																									EyesNotFound	175	1														
