Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Recording monitor latency [ms]	Average validation accuracy [mm]	Average validation precision SD [mm]	Average validation precision RMS [mm]	Average validation accuracy [°]	Average validation precision SD [°]	Average validation precision RMS [°]	Average validation accuracy [px]	Average validation precision SD [px]	Average validation precision RMS [px]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [DACS px]	Gaze point Y [DACS px]	Gaze point left X [DACS px]	Gaze point left Y [DACS px]	Gaze point right X [DACS px]	Gaze point right Y [DACS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point left X [DACS mm]	Gaze point left Y [DACS mm]	Gaze point right X [DACS mm]	Gaze point right Y [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Presented Stimulus name	Presented Media name	Presented Media width [px]	Presented Media height [px]	Presented Media position X [DACS px]	Presented Media position Y [DACS px]	Original Media width [px]	Original Media height [px]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [DACS px]	Fixation point Y [DACS px]	Fixation point X [MCS norm]	Fixation point Y [MCS norm]	Client area position X [px]	Client area position Y [px]	Viewport position X [px]	Viewport position Y [px]	Viewport width [px]	Viewport height [px]	Full page width [px]	Full page height [px]	Mouse position X [DACS px]	Mouse position Y [DACS px]
0	4352980		MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00											RecordingStart																																																										
122	4353102		MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00											Eye tracker TTL in	255																																									EyesNotFound	175	1														
122	4353102	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789319107																	Invalid	Invalid																									EyesNotFound	175	1														
130	4353111	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789327440																	Invalid	Invalid																									EyesNotFound	175	1														
139	4353119	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789335773																	Invalid	Invalid																									EyesNotFound	175	1														
147	4353127	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789344107																	Invalid	Invalid																									EyesNotFound	175	1														
155	4353136	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789352440																	Invalid	Invalid																									EyesNotFound	175	1														
164	4353144	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789360773																	Invalid	Invalid																									EyesNotFound	175	1														
172	4353152	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789369107																	Invalid	Invalid																									EyesNotFound	175	1														
180	4353161	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789377440																	Invalid	Invalid																									EyesNotFound	175	1														
189	4353169	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789385773																	Invalid	Invalid																									EyesNotFound	175	1														
197	4353177	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789394107																	Invalid	Invalid																									EyesNotFound	175	1														
205	4353186	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789402440																	Invalid	Invalid																									EyesNotFound	175	1														
214	4353194	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789410773																	Invalid	Invalid																									EyesNotFound	175	1														
222	4353202	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789419107																	Invalid	Invalid																									EyesNotFound	175	1														
230	4353211	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789427440																	Invalid	Invalid																									EyesNotFound	175	1														
239	4353219	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789435773																	Invalid	Invalid																									EyesNotFound	175	1														
247	4353227	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789444106																	Invalid	Invalid																									EyesNotFound	175	1														
255	4353236	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789452440																	Invalid	Invalid																									EyesNotFound	175	1														
264	4353244	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789460773																	Invalid	Invalid																									EyesNotFound	175	1														
272	4353252	Eye Tracker	MiniVLAT	18.03.2026	Participant2	Recording7	17.03.2026	17.03.2026	12:05:57.077	11:05:57.077	210611	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										3789469106																	Invalid	Invalid																									EyesNotFound	175	1														
