Participant,TotalDuration,Score,Question,Seconds,Correct

Participant1,198.8,11,treemap,14.3,1
Participant1,198.8,11,histogram,16.4,1
Participant1,198.8,11,100stacked,19.8,1
Participant1,198.8,11,map,19.7,1
Participant1,198.8,11,pie,12.7,1
Participant1,198.8,11,bubble,14.8,1
Participant1,198.8,11,stackedbar,13.1,1
Participant1,198.8,11,line,14.2,1
Participant1,198.8,11,bar,14.6,1
Participant1,198.8,11,area,15.2,1
Participant1,198.8,11,stackedarea,25.0,0
Participant1,198.8,11,scatter,19.0,1

Participant2,210.4,8,treemap,23.1,0
Participant2,210.4,8,histogram,14.8,1
Participant2,210.4,8,100stacked,13.0,1
Participant2,210.4,8,map,23.3,1
Participant2,210.4,8,pie,21.0,0
Participant2,210.4,8,bubble,7.4,1
Participant2,210.4,8,stackedbar,25.0,0
Participant2,210.4,8,line,10.3,1
Participant2,210.4,8,bar,14.4,1
Participant2,210.4,8,area,13.2,1
Participant2,210.4,8,stackedarea,25.0,0
Participant2,210.4,8,scatter,24.3,1

Participant3,222.1,9,treemap,23.1,1
Participant3,222.1,9,histogram,15.9,1
Participant3,222.1,9,100stacked,25.0,0
Participant3,222.1,9,map,19.5,1
Participant3,222.1,9,pie,22.1,1
Participant3,222.1,9,bubble,16.0,1
Participant3,222.1,9,stackedbar,21.3,0
Participant3,222.1,9,line,12.4,1
Participant3,222.1,9,bar,11.3,1
Participant3,222.1,9,area,12.4,1
Participant3,222.1,9,stackedarea,18.6,0
Participant3,222.1,9,scatter,24.4,1

Participant4,247.2,5,treemap,21.9,0
Participant4,247.2,5,histogram,13.0,1
Participant4,247.2,5,100stacked,16.3,1
Participant4,247.2,5,map,20.8,1
Participant4,247.2,5,pie,24.8,0
Participant4,247.2,5,bubble,23.1,0
Participant4,247.2,5,stackedbar,25.0,0
Participant4,247.2,5,line,25.0,0
Participant4,247.2,5,bar,14.5,1
Participant4,247.2,5,area,18.9,1
Participant4,247.2,5,stackedarea,25.0,0
Participant4,247.2,5,scatter,18.8,0

Participant5,208.8,6,treemap,13.3,1
Participant5,208.8,6,histogram,11.5,1
Participant5,208.8,6,100stacked,11.8,1
Participant5,208.8,6,map,17.9,1
Participant5,208.8,6,pie,17.3,0
Participant5,208.8,6,bubble,25.0,0
Participant5,208.8,6,stackedbar,23.3,0
Participant5,208.8,6,line,15.8,1
Participant5,208.8,6,bar,15.3,1
Participant5,208.8,6,area,19.9,0
Participant5,208.8,6,stackedarea,25.0,0
Participant5,208.8,6,scatter,15.1,0

Participant6,142.4,9,treemap,13.3,1
Participant6,142.4,9,histogram,6.8,1
Participant6,142.4,9,100stacked,7.3,1
Participant6,142.4,9,map,14.1,1
Participant6,142.4,9,pie,13.3,0
Participant6,142.4,9,bubble,14.1,1
Participant6,142.4,9,stackedbar,13.0,0
Participant6,142.4,9,line,8.1,1
Participant6,142.4,9,bar,8.7,1
Participant6,142.4,9,area,10.7,1
Participant6,142.4,9,stackedarea,19.5,1
Participant6,142.4,9,scatter,13.6,0

Participant7,249.6,8,treemap,23.4,0
Participant7,249.6,8,histogram,25.0,0
Participant7,249.6,8,100stacked,18.6,1
Participant7,249.6,8,map,19.5,1
