P	TTFF Feb	TTFF Answers	Dwell Feb	Dwell Answers	Dwell Ratio Feb	Irrelevant Ratio	Transitions
P2	6631	96	1962	1812	0.181	0.259	21
P7	2017	0	287	11172	0.021	0.051	20
P8	972	0	1229	4143	0.085	0.241	30
P9	4412	3220	1048	5740	0.108	0.063	13
P13	4079	13588	58	2754	0.003	0.477	27
P14	262	6837	1572	3799	0.147	0.154	18
P21	7422	8699	886	1708	0.078	0.130	14
P22	4109	6926	4245	2007	0.437	0.067	11
P3	5746	0	5028	2409	0.388	0.190	29
P4	7987	14162	483	384	0.019	0.027	32
P5	8566	3958	67	4403	0.004	0.399	24
P6	338	4997	1164	4500	0.133	0.149	12
P23	3692	6592	2146	3036	0.215	0.156	14
P24	256	6681	2855	2087	0.283	0.056	18
P25	6758	4092	793	3621	0.072	0.175	13
P28	3381	2510	184	6010	0.028	0.041	34
P16	5414	0	773	13200	0.031	0.151	39
P18	0	602	610	4479	0.056	0.083	13
P19	333	0	401	2690	0.048	0.355	18
P17	11859	0	8073	10136	0.269	0.393	32
P20	5305	0	961	4092	0.075	0.433	21
P26	0	349	1772	3244	0.131	0.431	26
P27	5772	14719	4402	1373	0.218	0.162	32
