P,TTFF Samsung,TTFF Answers,Dwell Samsung,Dwell Answers,Dwell Ratio Samsung,Dwell Ratio Answers,Irrelevant Ratio,Transitions
P24,3183,4142,6578,2982,0.512,0.232,0.042,14
P8,5773,0,4598,8171,0.247,0.438,0.123,29
P18,7110,7491,1494,5421,0.088,0.320,0.224,34
P21,3728,4245,1173,7521,0.101,0.645,0.023,14
P22,3042,4383,4844,3066,0.451,0.285,0.036,13
P27,5836,6986,5484,2824,0.362,0.187,0.021,17
P26,7591,6324,3052,4608,0.149,0.225,0.243,35
P3,10832,11808,6873,6181,0.304,0.273,0.121,28
P9,4108,5499,2834,6112,0.157,0.339,0.004,43
P6,6721,0,1552,7392,0.112,0.534,0.084,17
P13,16077,0,1219,8203,0.048,0.323,0.032,35
P4,8378,5912,6282,8885,0.249,0.352,0.020,39
P5,0,5908,4265,7233,0.238,0.404,0.107,31
P14,5368,7510,1160,3832,0.081,0.267,0.486,32
P20,10050,12567,5724,4211,0.225,0.165,0.127,39
P25,8507,9599,2150,1944,0.085,0.077,0.283,45
P16,3584,7534,1040,7057,0.050,0.337,0.232,40
P2,8930,0,3508,3566,0.163,0.166,0.045,31
P7,8485,0,4367,7552,0.196,0.339,0.088,26
P23,3798,4282,5178,5398,0.339,0.354,0.072,24
P19,5473,0,3816,5359,0.271,0.380,0.065,22
P17,3920,0,1000,4627,0.078,0.361,0.156,32
P28,7087,6350,5433,7765,0.384,0.548,0.068,34
