P	TTFF 2012 (s)	TTFF Answers (s)	Dwell 2012 (ms)	Dwell Answers (ms)	Dwell Ratio 2012	Irrelevant Ratio	Transitions
P2	14.02	0	1274	6715	0.050	0.170	40
P3	9.65	9.44	2061	4360	0.107	0.223	21
P4	17.06	8.77	348	9927	0.014	0.263	37
P5	9.21	0	266	2420	0.010	0.692	38
P6	13.49	0	2120	5696	0.106	0.564	24
P7	0.22	0	281	7904	0.011	0.423	31
P8	0.41	0	966	4053	0.049	0.314	31
P9	2.84	6.66	2852	5446	0.148	0.212	41
P13	2.04	8.87	1328	4001	0.056	0.615	38
P14	6.31	5.56	742	4734	0.045	0.402	18
P16	1.22	7.24	898	6367	0.062	0.237	30
P18	0	9.30	993	4138	0.051	0.385	31
P19	3.92	4.12	743	1951	0.060	0.575	20
P20	9.70	11.80	1757	9155	0.072	0.334	28
P21	5.59	8.90	163	2183	0.006	0.196	33
P22	14.93	3.27	310	4627	0.014	0.455	30
P23	3.27	9.85	5643	3085	0.317	0.267	26
P24	12.05	8.28	5585	5796	0.276	0.182	31
P25	3.04	8.35	3419	6184	0.201	0.337	22
P26	6.20	0	137	3087	0.005	0.673	36
P27	4.14	22.15	476	1628	0.019	0.128	27
P17	0.13	0	3391	2272	0.135	0.019	53
Participant,Question,TTFF_2012,TTFF_answers,Dwell_2012,Dwell_answers,Dwell_ratio_2012,Dwell_ratio_answers,Transitions,Transitions_per_sec,Sequence_length,First_AOI,Irrelevant_Ratio
Participant17new,11,,0.0,0,2272.0,0,0.09045119260414995,32,1.2739360643337712,33,answers,0.15400000294603355
