P,TTFF Seoul,TTFF Legend,TTFF Answers,Dwell Seoul,Dwell Legend,Dwell Answers,Irrelevant Ratio,Transitions
P24,4517,2192,9825,5771,1147,2159,0.011,21
P8,2030,3955,0,9238,976,5914,0.187,37
P26,210,2234,8743,1228,374,9046,0.163,47
P23,32,1682,9665,3609,773,4766,0.069,31
P27,10010,2518,13210,5647,2147,3214,0.029,21
P22,2752,4435,11235,3293,1660,2300,0.060,22
P21,2341,1599,6574,4595,2522,2479,0.084,42
P3,9130,71,11571,5446,2399,2000,0.059,39
P18,6069,3169,0,2770,682,3130,0.241,52
P9,5264,1839,0,2256,3375,3966,0.049,47
P20,8916,5533,13808,4044,2737,4566,0.125,50
P14,7408,2425,10250,978,1047,3936,0.034,25
P5,7691,2983,9275,1453,2209,6702,0.170,46
P16,406,17431,4014,1529,80,6394,0.303,48
P4,4607,5328,0,3194,1795,9323,0.036,46
P13,2507,4473,2760,344,242,6094,0.301,50
P25,542,6775,9734,4582,1398,2903,0.069,29
P2,722,6050,300,752,2012,3774,0.073,44
P6,5826,2784,0,1417,1411,5654,0.096,30
P7,443,5585,8518,5110,3643,3565,0.115,63
P19,802,3410,3085,2692,2358,4863,0.117,46
P17,3920,0,0,2770,0,4627,0.156,32
