Participant,TTFF_Search_ms,TTFF_Retail_ms,TTFF_Answers_ms,Dwell_Search_ms,Dwell_Retail_ms,Dwell_Answers_ms,Dwell_Ratio_Search,Dwell_Ratio_Retail,Transitions,Transitions_per_sec,First_AOI,Irrelevant_Ratio
P24,2083,9741,4292,7125,749,4961,0.264,0.028,41,1.52,search,0.170
P23,1392,7567,8750,3669,865,9277,0.136,0.032,36,1.33,social,0.254
P27,2259,9584,10742,1149,672,11331,0.043,0.025,32,1.19,search,0.254
P22,1248,8631,2114,4381,1319,5640,0.162,0.049,39,1.44,search,0.120
P21,984,8439,100,6043,1516,9372,0.224,0.056,40,1.48,answers,0.121
P18,1828,9079,0,7450,3980,4414,0.276,0.147,45,1.67,answers,0.057
P8,658,10315,1225,6978,1258,8748,0.258,0.047,46,1.70,search,0.101
P9,0,16217,1542,3061,199,8803,0.113,0.007,65,2.41,search,0.131
P3,0,13175,958,6202,2951,3043,0.230,0.109,48,1.78,search,0.108
P6,2633,875,342,4449,2803,7982,0.165,0.104,59,2.19,answers,0.219
P26,1742,13325,0,9515,316,8730,0.352,0.012,38,1.41,answers,0.162
P4,2285,,4177,1934,0,9837,0.072,0.000,32,1.19,search,0.210
P14,2225,,1142,10240,0,11234,0.379,0.000,34,1.26,social,0.108
P20,2217,13433,750,5259,145,8647,0.195,0.005,51,1.89,answers,0.120
P2,550,6392,1183,3935,10371,4663,0.146,0.384,46,1.70,search,0.047
P7,2275,,1750,8368,0,8461,0.310,0.000,31,1.15,answers,0.100
P5,1283,4700,4225,4648,1074,4570,0.172,0.040,46,1.70,search,0.398
P16,2566,3725,1608,6767,2988,6373,0.251,0.111,45,1.67,social,0.338
P13,87,,1980,7677,0,4945,0.284,0.000,40,1.48,search,0.172
P25,2333,12542,808,9125,2399,4576,0.338,0.089,47,1.74,answers,0.191
P19,1433,12150,48,10691,829,6092,0.396,0.031,41,1.52,answers,0.175
P17,3920,,0,1000,0,4627,0.037,0.000,14,0.52,search,0.156
P28,850,,4860,7120,0,8120,0.335,0.000,45,1.67,search,0.284
