Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Recording monitor latency [ms]	Average validation accuracy [mm]	Average validation precision SD [mm]	Average validation precision RMS [mm]	Average validation accuracy [°]	Average validation precision SD [°]	Average validation precision RMS [°]	Average validation accuracy [px]	Average validation precision SD [px]	Average validation precision RMS [px]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [DACS px]	Gaze point Y [DACS px]	Gaze point left X [DACS px]	Gaze point left Y [DACS px]	Gaze point right X [DACS px]	Gaze point right Y [DACS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point left X [DACS mm]	Gaze point left Y [DACS mm]	Gaze point right X [DACS mm]	Gaze point right Y [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Presented Stimulus name	Presented Media name	Presented Media width [px]	Presented Media height [px]	Presented Media position X [DACS px]	Presented Media position Y [DACS px]	Original Media width [px]	Original Media height [px]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [DACS px]	Fixation point Y [DACS px]	Fixation point X [MCS norm]	Fixation point Y [MCS norm]	AOI hit [Question 1 – Treemap - answers]	AOI hit [Question 1 – Treemap - computer]	AOI hit [Question 1 – Treemap - question]	AOI hit [Question 1 – Treemap - search_portal]	AOI hit [Question 1 – Treemap - socialnetwork]	AOI hit [Question 1 – Treemap - software]	Client area position X [px]	Client area position Y [px]	Viewport position X [px]	Viewport position Y [px]	Viewport width [px]	Viewport height [px]	Full page width [px]	Full page height [px]	Mouse position X [DACS px]	Mouse position Y [DACS px]
0	13186774		MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00											RecordingStart																																																	0	0	0	0	0	0										
114	13186888		MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00											Eye tracker TTL in	255																																									EyesNotFound	183	1					0	0	0	0	0	0										
114	13186888	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883060439																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
123	13186896	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883068772																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
131	13186905	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883077105																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
139	13186913	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883085439																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
148	13186921	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883093772																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
156	13186930	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883102105																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
164	13186938	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883110439																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
173	13186946	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883118772																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
181	13186955	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883127105																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
189	13186963	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883135439																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
198	13186971	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883143772																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
206	13186980	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883152105																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
214	13186988	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883160439																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
223	13186996	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883168772																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
231	13187005	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883177105																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
238	13187012	Mouse	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00																																																					EyesNotFound	183	1					0	0	0	0	0	0									-404	974
239	13187013	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883185438																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
248	13187021	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883193772																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
254	13187028	Mouse	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00																																																					EyesNotFound	183	1					0	0	0	0	0	0									-407	975
256	13187030	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883202105																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
264	13187038	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883210439																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
273	13187046	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883218772																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
278	13187052	Mouse	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00																																																					EyesNotFound	183	1					0	0	0	0	0	0									-408	975
281	13187055	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883227105																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
289	13187063	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883235438																	Invalid	Invalid																									EyesNotFound	183	1					0	0	0	0	0	0										
298	13187071	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883243772			947	390	976	430	918	350	0.12835	0.02312	-0.99146	-0.01272	-0.02213	-0.99967	4.36	4.50	Valid	Valid	195.2	105.2	565.2	259.8	108.7	566.4	268.3	118.3	252.6	96.1															Unclassified	58	1					0	0	0	0	0	0										
306	13187080	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883252105			951	401	985	456	917	346	0.13262	0.03565	-0.99053	-0.01345	-0.02382	-0.99963	4.39	4.49	Valid	Valid	195.2	105.2	565.2	259.8	108.7	566.4	270.8	125.5	252.2	95.2															Unclassified	58	1					0	0	0	0	0	0										
314	13187088	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883260438			949	386	978	434	919	339	0.12940	0.02478	-0.99128	-0.01233	-0.02723	-0.99955	4.35	4.49	Valid	Valid	195.2	105.1	565.3	259.8	108.6	566.6	269.0	119.3	252.8	93.2															Unclassified	58	1					0	0	0	0	0	0										
323	13187096	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883268771			946	391	971	446	922	336	0.12588	0.03061	-0.99157	-0.01097	-0.02870	-0.99953	4.37	4.49	Valid	Valid	195.2	105.3	564.9	259.8	108.6	566.5	266.9	122.7	253.6	92.4															Unclassified	58	1					0	0	0	0	0	0										
331	13187105	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883277105			953	390	986	452	920	327	0.13317	0.03366	-0.99052	-0.01216	-0.03293	-0.99938	4.37	4.49	Valid	Valid	195.2	105.1	565.2	259.8	108.6	566.6	271.2	124.3	252.9	90.0															Unclassified	58	1					0	0	0	0	0	0										
339	13187113	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883285438			951	384	982	448	919	319	0.13132	0.03155	-0.99084	-0.01240	-0.03667	-0.99925	4.35	4.49	Valid	Valid	195.2	105.2	565.2	259.8	108.6	566.6	270.1	123.1	252.8	87.9															Unclassified	58	1					0	0	0	0	0	0										
348	13187121	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883293771			947	374	973	418	921	331	0.12725	0.01719	-0.99172	-0.01172	-0.03134	-0.99944	4.32	4.50	Valid	Valid	195.2	105.2	565.1	259.8	108.7	566.5	267.7	115.0	253.2	90.9															Unclassified	58	1					0	0	0	0	0	0										
356	13187130	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883302105			947	388	972	441	921	336	0.12666	0.02819	-0.99155	-0.01165	-0.02896	-0.99951	4.32	4.50	Valid	Valid	195.2	105.3	565.0	259.8	108.7	566.6	267.4	121.4	253.2	92.3															Saccade	33	1					0	0	0	0	0	0										
364	13187138	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883310438			945	457	965	533	925	381	0.12296	0.07204	-0.98979	-0.00962	-0.00739	-0.99993	4.34	4.48	Valid	Valid	195.3	105.5	565.1	259.7	109.0	566.4	265.4	146.7	254.3	104.8															Saccade	33	1					0	0	0	0	0	0										
373	13187146	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883318771			939	553	959	640	919	466	0.11951	0.12227	-0.98527	-0.01242	0.03348	-0.99936	4.32	4.46	Valid	Valid	195.3	105.9	564.9	259.7	109.1	566.7	263.8	176.0	252.6	128.1															Saccade	33	1					0	0	0	0	0	0										
381	13187155	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883327105			930	612	942	702	919	522	0.11063	0.15123	-0.98229	-0.01234	0.06034	-0.99810	4.34	4.46	Valid	Valid	195.3	106.0	565.1	259.6	109.4	566.4	258.9	193.0	252.6	143.6															Saccade	33	1					0	0	0	0	0	0										
389	13187163	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883335438			930	595	941	680	919	510	0.11070	0.14104	-0.98380	-0.01203	0.05470	-0.99843	4.34	4.46	Valid	Valid	195.3	106.0	565.1	259.6	109.3	566.7	258.8	187.0	252.8	140.3															Fixation	100	1	932	592			0	0	0	0	0	0										
398	13187171	Eye Tracker	MiniVLAT	07.04.2026	Participant26	Recording18	30.03.2026	30.03.2026	14:59:49.043	12:59:49.043	305684	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00										12883343771			929	601	938	685	920	517	0.10913	0.14328	-0.98365	-0.01170	0.05807	-0.99824	4.32	4.46	Valid	Valid	195.2	106.0	565.1	259.7	109.2	566.8	257.9	188.3	253.0	142.2															Fixation	100	1	932	592			0	0	0	0	0	0										
