Participant,TotalDuration,Score,Question,Seconds,Correct

Participant29,198.5,7,treemap,17.5,1
Participant29,198.5,7,histogram,9.1,1
Participant29,198.5,7,100stacked,10.0,1
Participant29,198.5,7,map,15.5,0
Participant29,198.5,7,pie,18.0,1
Participant29,198.5,7,bubble,25.0,0
Participant29,198.5,7,stackedbar,20.0,0
Participant29,198.5,7,line,11.5,1
Participant29,198.5,7,bar,9.9,1
Participant29,198.5,7,area,19.1,0
Participant29,198.5,7,stackedarea,20.2,1
Participant29,198.5,7,scatter,22.8,0

Participant34,209.6,9,treemap,16.0,1
Participant34,209.6,9,histogram,15.1,1
Participant34,209.6,9,100stacked,14.6,1
Participant34,209.6,9,map,17.7,0
Participant34,209.6,9,pie,13.5,1
Participant34,209.6,9,bubble,18.2,1
Participant34,209.6,9,stackedbar,24.0,0
Participant34,209.6,9,line,14.2,1
Participant34,209.6,9,bar,14.7,1
Participant34,209.6,9,area,16.3,1
Participant34,209.6,9,stackedarea,25.0,0
Participant34,209.6,9,scatter,20.2,1


Participant36,118.3,4,treemap,3.4,0
Participant36,118.3,4,histogram,9.9,0
Participant36,118.3,4,100stacked,2.2,0
Participant36,118.3,4,map,1.8,1
Participant36,118.3,4,pie,2.2,0
Participant36,118.3,4,bubble,2.2,0
Participant36,118.3,4,stackedbar,1.8,0
Participant36,118.3,4,line,2.3,1
Participant36,118.3,4,bar,25.0,0
Participant36,118.3,4,area,20.6,0
Participant36,118.3,4,stackedarea,22.0,1
Participant36,118.3,4,scatter,25.0,1


Participant38,263.9,6,treemap,23.4,1
Participant38,263.9,6,histogram,22.5,1
Participant38,263.9,6,100stacked,13.5,1
Participant38,263.9,6,map,25.0,0
Participant38,263.9,6,pie,24.1,0
Participant38,263.9,6,bubble,21.3,0
Participant38,263.9,6,stackedbar,23.9,0
Participant38,263.9,6,line,21.1,1
Participant38,263.9,6,bar,14.1,1
Participant38,263.9,6,area,24.9,1
Participant38,263.9,6,stackedarea,25.0,0
Participant38,263.9,6,scatter,25.0,0


Participant41,204.8,10,treemap,16.6,1
Participant41,204.8,10,histogram,13.3,1
Participant41,204.8,10,100stacked,11.4,1
Participant41,204.8,10,map,21.9,1
Participant41,204.8,10,pie,20.9,1
Participant41,204.8,10,bubble,22.5,1
Participant41,204.8,10,stackedbar,25.0,0
Participant41,204.8,10,line,13.4,1
Participant41,204.8,10,bar,11.2,0
Participant41,204.8,10,area,18.7,1
Participant41,204.8,10,stackedarea,20.1,1
Participant41,204.8,10,scatter,9.8,1





