Recording timestamp [ms]	Sensor	Project name	Participant name	Recording name	Recording duration [ms]	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Recording monitor latency [ms]	Average validation accuracy [mm]	Average validation precision SD [mm]	Average validation precision RMS [mm]	Average validation accuracy [°]	Average validation precision SD [°]	Average validation precision RMS [°]	Average validation accuracy [px]	Average validation precision SD [px]	Average validation precision RMS [px]	Event	Event value	Gaze point X [DACS px]	Gaze point Y [DACS px]	Gaze point left X [DACS px]	Gaze point left Y [DACS px]	Gaze point right X [DACS px]	Gaze point right Y [DACS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point left X [DACS mm]	Gaze point left Y [DACS mm]	Gaze point right X [DACS mm]	Gaze point right Y [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Presented Stimulus name	Presented Media name	Presented Media width [px]	Presented Media height [px]	Presented Media position X [DACS px]	Presented Media position Y [DACS px]	Original Media width [px]	Original Media height [px]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [DACS px]	Fixation point Y [DACS px]	Fixation point X [MCS norm]	Fixation point Y [MCS norm]	AOI hit [Question 1 – Treemap - answers]	AOI hit [Question 1 – Treemap - computer]	AOI hit [Question 1 – Treemap - question]	AOI hit [Question 1 – Treemap - search_portal]	AOI hit [Question 1 – Treemap - socialnetwork]	AOI hit [Question 1 – Treemap - software]	Client area position X [px]	Client area position Y [px]	Viewport position X [px]	Viewport position Y [px]	Viewport width [px]	Viewport height [px]	Full page width [px]	Full page height [px]	Mouse position X [DACS px]	Mouse position Y [DACS px]
0		MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6	RecordingStart																																																	0	0	0	0	0	0										
116		MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6	Eye tracker TTL in	255																																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
116	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
124	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
133	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
141	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
149	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
158	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
162	Mouse	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																																											EyesNotFound	183.0	1.0					0	0	0	0	0	0									-396.0	966.0
166	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
174	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
183	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
191	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
194	Mouse	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																																											EyesNotFound	183.0	1.0					0	0	0	0	0	0									-396.0	967.0
199	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
208	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
210	Mouse	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																																											EyesNotFound	183.0	1.0					0	0	0	0	0	0									-396.0	963.0
216	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
224	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
226	Mouse	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																																											EyesNotFound	183.0	1.0					0	0	0	0	0	0									-397.0	948.0
233	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
241	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
249	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
258	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
266	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
274	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
283	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
291	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	1.0					0	0	0	0	0	0										
299	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6			905.0	1096.0	846.0	1091.0	964.0	1101.0	0.03293	0.27082	-0.96207	-0.03211	0.27489	-0.96094	4.59	4.65	Valid	Valid	213.5	141.5	562.8	283.8	143.1	558.2	232.8	299.9	265.2	302.7															Unclassified	17.0	1.0					0	0	0	0	0	0										
308	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6			908.0	1069.0	865.0	1052.0	951.0	1085.0	0.04193	0.25377	-0.96635	-0.03862	0.26813	-0.96261	4.59	4.63	Valid	Valid	213.6	141.5	562.7	283.8	143.1	558.1	238.0	289.3	261.4	298.5															Unclassified	17.0	1.0					0	0	0	0	0	0										
316	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
324	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
333	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
341	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
349	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
358	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
366	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
374	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
383	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
391	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
399	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
408	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
416	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
424	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
433	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
441	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
449	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
458	Eye Tracker	MiniVLAT	Participant26	Recording25	239443	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.0	8.5	2.5	1.8	0.85	0.25	0.17	31	9	6																	Invalid	Invalid																									EyesNotFound	183.0	2.0					0	0	0	0	0	0										
