Participant,TotalDuration,Score,Question,Seconds,Correct

Participant51,136.6,12,treemap,11.5,1
Participant51,136.6,12,histogram,10.3,1
Participant51,136.6,12,100stacked,13.8,1
Participant51,136.6,12,map,7.0,1
Participant51,136.6,12,pie,10.8,1
Participant51,136.6,12,bubble,10.4,1
Participant51,136.6,12,stackedbar,13.8,1
Participant51,136.6,12,line,9.2,1
Participant51,136.6,12,bar,6.5,1
Participant51,136.6,12,area,8.6,1
Participant51,136.6,12,stackedarea,23.7,1
Participant51,136.6,12,scatter,11.0,1

Participant52,140.2,10,treemap,9.3,1
Participant52,140.2,10,histogram,13.7,1
Participant52,140.2,10,100stacked,11.1,1
Participant52,140.2,10,map,7.5,1
Participant52,140.2,10,pie,8.3,1
Participant52,140.2,10,bubble,7.3,1
Participant52,140.2,10,stackedbar,18.5,0
Participant52,140.2,10,line,14.4,1
Participant52,140.2,10,bar,12.0,1
Participant52,140.2,10,area,10.3,1
Participant52,140.2,10,stackedarea,14.8,0
Participant52,140.2,10,scatter,13.2,1

Participant53,334.9,8,treemap,19.2,0
Participant53,334.9,8,histogram,46.6,1
Participant53,334.9,8,100stacked,16.4,1
Participant53,334.9,8,map,21.4,1
Participant53,334.9,8,pie,23.3,0
Participant53,334.9,8,bubble,17.9,1
Participant53,334.9,8,stackedbar,35.9,0
Participant53,334.9,8,line,14.7,1
Participant53,334.9,8,bar,27.4,1
Participant53,334.9,8,area,26.3,1
Participant53,334.9,8,stackedarea,38.1,1
Participant53,334.9,8,scatter,47.8,0

Participant54,193.4,9,treemap,14.1,1
Participant54,193.4,9,histogram,9.3,1
Participant54,193.4,9,100stacked,10.3,1
Participant54,193.4,9,map,19.8,0
Participant54,193.4,9,pie,15.2,0
Participant54,193.4,9,bubble,12.3,1
Participant54,193.4,9,stackedbar,26.7,0
Participant54,193.4,9,line,11.0,1
Participant54,193.4,9,bar,18.3,1
Participant54,193.4,9,area,13.3,1
Participant54,193.4,9,stackedarea,20.1,1
Participant54,193.4,9,scatter,22.9,1

Participant55,213.5,12,treemap,15.3,1
Participant55,213.5,12,histogram,18.0,1
Participant55,213.5,12,100stacked,12.0,1
Participant55,213.5,12,map,12.7,1
Participant55,213.5,12,pie,17.5,1
Participant55,213.5,12,bubble,18.8,1
Participant55,213.5,12,stackedbar,42.9,1
Participant55,213.5,12,line,12.5,1
Participant55,213.5,12,bar,11.1,1
Participant55,213.5,12,area,18.2,1
Participant55,213.5,12,stackedarea,22.6,1
Participant55,213.5,12,scatter,11.8,1
