Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Recording monitor latency [ms]	Average validation accuracy [mm]	Average validation precision SD [mm]	Average validation precision RMS [mm]	Average validation accuracy [°]	Average validation precision SD [°]	Average validation precision RMS [°]	Average validation accuracy [px]	Average validation precision SD [px]	Average validation precision RMS [px]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [DACS px]	Gaze point Y [DACS px]	Gaze point left X [DACS px]	Gaze point left Y [DACS px]	Gaze point right X [DACS px]	Gaze point right Y [DACS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point left X [DACS mm]	Gaze point left Y [DACS mm]	Gaze point right X [DACS mm]	Gaze point right Y [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Presented Stimulus name	Presented Media name	Presented Media width [px]	Presented Media height [px]	Presented Media position X [DACS px]	Presented Media position Y [DACS px]	Original Media width [px]	Original Media height [px]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [DACS px]	Fixation point Y [DACS px]	Fixation point X [MCS norm]	Fixation point Y [MCS norm]	AOI hit [Question 1 – Treemap - answers]	AOI hit [Question 1 – Treemap - computer]	AOI hit [Question 1 – Treemap - question]	AOI hit [Question 1 – Treemap - search_portal]	AOI hit [Question 1 – Treemap - socialnetwork]	AOI hit [Question 1 – Treemap - software]	Client area position X [px]	Client area position Y [px]	Viewport position X [px]	Viewport position Y [px]	Viewport width [px]	Viewport height [px]	Full page width [px]	Full page height [px]	Mouse position X [DACS px]	Mouse position Y [DACS px]
0	523163831		MiniVLAT	07.04.2026	ParticipantD3	Recording33	07.04.2026	07.04.2026	16:03:14.890	14:03:14.890	332640	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00											RecordingStart																																																	0	0	0	0	0	0										
13	523163844	Mouse	MiniVLAT	07.04.2026	ParticipantD3	Recording33	07.04.2026	07.04.2026	16:03:14.890	14:03:14.890	332640	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00																																																												0	0	0	0	0	0									-773	397
29	523163860	Mouse	MiniVLAT	07.04.2026	ParticipantD3	Recording33	07.04.2026	07.04.2026	16:03:14.890	14:03:14.890	332640	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00																																																												0	0	0	0	0	0									-790	382
45	523163876	Mouse	MiniVLAT	07.04.2026	ParticipantD3	Recording33	07.04.2026	07.04.2026	16:03:14.890	14:03:14.890	332640	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00																																																												0	0	0	0	0	0									-800	373
61	523163892	Mouse	MiniVLAT	07.04.2026	ParticipantD3	Recording33	07.04.2026	07.04.2026	16:03:14.890	14:03:14.890	332640	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00																																																												0	0	0	0	0	0									-818	355
77	523163908	Mouse	MiniVLAT	07.04.2026	ParticipantD3	Recording33	07.04.2026	07.04.2026	16:03:14.890	14:03:14.890	332640	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00																																																												0	0	0	0	0	0									-836	337
93	523163924	Mouse	MiniVLAT	07.04.2026	ParticipantD3	Recording33	07.04.2026	07.04.2026	16:03:14.890	14:03:14.890	332640	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00																																																												0	0	0	0	0	0									-856	323
109	523163940	Mouse	MiniVLAT	07.04.2026	ParticipantD3	Recording33	07.04.2026	07.04.2026	16:03:14.890	14:03:14.890	332640	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00																																																												0	0	0	0	0	0									-885	305
125	523163956	Mouse	MiniVLAT	07.04.2026	ParticipantD3	Recording33	07.04.2026	07.04.2026	16:03:14.890	14:03:14.890	332640	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00																																																												0	0	0	0	0	0									-906	294
141	523163972		MiniVLAT	07.04.2026	ParticipantD3	Recording33	07.04.2026	07.04.2026	16:03:14.890	14:03:14.890	332640	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00											Eye tracker TTL in	255																																									EyesNotFound	183	1					0	0	0	0	0	0										
