Participant,TotalDuration,Score,Question,Seconds,Correct

Participant61,286.5,12,treemap,20.8,1
Participant61,286.5,12,histogram,14.2,1
Participant61,286.5,12,100stacked,18.1,1
Participant61,286.5,12,map,15.1,1
Participant61,286.5,12,pie,28.2,1
Participant61,286.5,12,bubble,22.7,1
Participant61,286.5,12,stackedbar,48.9,1
Participant61,286.5,12,line,20.7,1
Participant61,286.5,12,bar,18.1,1
Participant61,286.5,12,area,22.0,1
Participant61,286.5,12,stackedarea,33.3,1
Participant61,286.5,12,scatter,24.3,1

Participant62,150.1,11,treemap,8.7,1
Participant62,150.1,11,histogram,7.7,1
Participant62,150.1,11,100stacked,9.2,1
Participant62,150.1,11,map,17.1,1
Participant62,150.1,11,pie,17.0,1
Participant62,150.1,11,bubble,11.0,1
Participant62,150.1,11,stackedbar,15.4,0
Participant62,150.1,11,line,8.9,1
Participant62,150.1,11,bar,13.0,1
Participant62,150.1,11,area,16.8,1
Participant62,150.1,11,stackedarea,10.7,1
Participant62,150.1,11,scatter,14.7,1

Participant63,201.8,11,treemap,18.9,1
Participant63,201.8,11,histogram,10.9,1
Participant63,201.8,11,100stacked,11.6,1
Participant63,201.8,11,map,21.8,1
Participant63,201.8,11,pie,10.8,1
Participant63,201.8,11,bubble,13.2,1
Participant63,201.8,11,stackedbar,27.4,0
Participant63,201.8,11,line,11.5,1
Participant63,201.8,11,bar,8.0,1
Participant63,201.8,11,area,13.0,1
Participant63,201.8,11,stackedarea,40.1,1
Participant63,201.8,11,scatter,14.5,1

Participant64,345.6,5,treemap,32.1,0
Participant64,345.6,5,histogram,21.1,1
Participant64,345.6,5,100stacked,21.2,1
Participant64,345.6,5,map,30.2,1
Participant64,345.6,5,pie,40.6,0
Participant64,345.6,5,bubble,45.5,1
Participant64,345.6,5,stackedbar,35.1,0
Participant64,345.6,5,line,16.0,0
Participant64,345.6,5,bar,11.4,0
Participant64,345.6,5,area,17.4,1
Participant64,345.6,5,stackedarea,35.4,0
Participant64,345.6,5,scatter,39.4,0

Participant65,317.8,9,treemap,20.7,0
Participant65,317.8,9,histogram,12.0,1
Participant65,317.8,9,100stacked,16.7,1
Participant65,317.8,9,map,30.1,1
Participant65,317.8,9,pie,22.6,0
Participant65,317.8,9,bubble,23.5,1
Participant65,317.8,9,stackedbar,107.6,1
Participant65,317.8,9,line,14.9,1
Participant65,317.8,9,bar,10.4,1
Participant65,317.8,9,area,13.2,1
Participant65,317.8,9,stackedarea,19.1,1
Participant65,317.8,9,scatter,27.0,0
