Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Recording monitor latency	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Average calibration accuracy (pixels)	Average calibration precision SD (pixels)	Average calibration precision RMS (pixels)	Average validation accuracy (mm)	Average validation precision SD (mm)	Average validation precision RMS (mm)	Average validation accuracy (degrees)	Average validation precision SD (degrees)	Average validation precision RMS (degrees)	Average validation accuracy (pixels)	Average validation precision SD (pixels)	Average validation precision RMS (pixels)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Presented Stimulus name	Presented Media name	Presented Media width	Presented Media height	Presented Media position X (DACSpx)	Presented Media position Y (DACSpx)	Original Media width	Original Media height	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y	Fixation point X (MCSnorm)	Fixation point Y (MCSnorm)	Client area position X (DACSpx)	Client area position Y (DACSpx)	Viewport position X	Viewport position Y	Viewport width	Viewport height	Full page width	Full page height	Mouse position X	Mouse position Y
0	4578861781		Project19	23.01.2026	Participant4	Recording4	23.01.2026	23.01.2026	14:50:54.687	13:50:54.687	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8		RecordingStart																																																										
112	4578861893		Project19	23.01.2026	Participant4	Recording4	23.01.2026	23.01.2026	14:50:54.687	13:50:54.687	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8		Eye tracker TTL in	255																																									EyesNotFound	183	1														
112	4578861893	Eye Tracker	Project19	23.01.2026	Participant4	Recording4	23.01.2026	23.01.2026	14:50:54.687	13:50:54.687	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8	5403671076																	Invalid	Invalid																									EyesNotFound	183	1														
120	4578861901	Eye Tracker	Project19	23.01.2026	Participant4	Recording4	23.01.2026	23.01.2026	14:50:54.687	13:50:54.687	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8	5403679409																	Invalid	Invalid																									EyesNotFound	183	1														
128	4578861910	Eye Tracker	Project19	23.01.2026	Participant4	Recording4	23.01.2026	23.01.2026	14:50:54.687	13:50:54.687	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8	5403687742																	Invalid	Invalid																									EyesNotFound	183	1														
137	4578861918	Eye Tracker	Project19	23.01.2026	Participant4	Recording4	23.01.2026	23.01.2026	14:50:54.687	13:50:54.687	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8	5403696076																	Invalid	Invalid																									EyesNotFound	183	1														
145	4578861926	Eye Tracker	Project19	23.01.2026	Participant4	Recording4	23.01.2026	23.01.2026	14:50:54.687	13:50:54.687	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8	5403704409																	Invalid	Invalid																									EyesNotFound	183	1														
153	4578861935	Eye Tracker	Project19	23.01.2026	Participant4	Recording4	23.01.2026	23.01.2026	14:50:54.687	13:50:54.687	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8	5403712742																	Invalid	Invalid																									EyesNotFound	183	1														
162	4578861943	Eye Tracker	Project19	23.01.2026	Participant4	Recording4	23.01.2026	23.01.2026	14:50:54.687	13:50:54.687	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8	5403721076																	Invalid	Invalid																									EyesNotFound	183	1														
170	4578861951	Eye Tracker	Project19	23.01.2026	Participant4	Recording4	23.01.2026	23.01.2026	14:50:54.687	13:50:54.687	289558	Timeline1	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	0.5	1.5	1.3	0.04	0.13	0.12	2	5	5	5.9	2.8	2.3	0.56	0.27	0.22	21	10	8	5403729409																	Invalid	Invalid																									EyesNotFound	183	1														
