Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Timeline name	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Recording monitor latency	Average validation accuracy (mm)	Average validation precision SD (mm)	Average validation precision RMS (mm)	Average validation accuracy (degrees)	Average validation precision SD (degrees)	Average validation precision RMS (degrees)	Average validation accuracy (pixels)	Average validation precision SD (pixels)	Average validation precision RMS (pixels)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Presented Stimulus name	Presented Media name	Presented Media width	Presented Media height	Presented Media position X (DACSpx)	Presented Media position Y (DACSpx)	Original Media width	Original Media height	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y	Fixation point X (MCSnorm)	Fixation point Y (MCSnorm)	Client area position X (DACSpx)	Client area position Y (DACSpx)	Viewport position X	Viewport position Y	Viewport width	Viewport height	Full page width	Full page height	Mouse position X	Mouse position Y
0	99331778		MiniVLAT	18.03.2026	Participant26	Recording12	18.03.2026	18.03.2026	14:28:56.583	13:28:56.583	213951	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	9.9	1.6	0.9	0.96	0.15	0.08	36	6	3		RecordingStart																																																										
9	99331787	Mouse	MiniVLAT	18.03.2026	Participant26	Recording12	18.03.2026	18.03.2026	14:28:56.583	13:28:56.583	213951	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	9.9	1.6	0.9	0.96	0.15	0.08	36	6	3																																																											-395	1011
73	99331851		MiniVLAT	18.03.2026	Participant26	Recording12	18.03.2026	18.03.2026	14:28:56.583	13:28:56.583	213951	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	9.9	1.6	0.9	0.96	0.15	0.08	36	6	3		Eye tracker TTL in	255																																									EyesNotFound	1792	1														
73	99331851	Eye Tracker	MiniVLAT	18.03.2026	Participant26	Recording12	18.03.2026	18.03.2026	14:28:56.583	13:28:56.583	213951	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	9.9	1.6	0.9	0.96	0.15	0.08	36	6	3	6510277867																	Invalid	Invalid																									EyesNotFound	1792	1														
81	99331859	Eye Tracker	MiniVLAT	18.03.2026	Participant26	Recording12	18.03.2026	18.03.2026	14:28:56.583	13:28:56.583	213951	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	9.9	1.6	0.9	0.96	0.15	0.08	36	6	3	6510286203																	Invalid	Invalid																									EyesNotFound	1792	1														
89	99331867	Eye Tracker	MiniVLAT	18.03.2026	Participant26	Recording12	18.03.2026	18.03.2026	14:28:56.583	13:28:56.583	213951	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	9.9	1.6	0.9	0.96	0.15	0.08	36	6	3	6510294539																	Invalid	Invalid																									EyesNotFound	1792	1														
98	99331876	Eye Tracker	MiniVLAT	18.03.2026	Participant26	Recording12	18.03.2026	18.03.2026	14:28:56.583	13:28:56.583	213951	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	9.9	1.6	0.9	0.96	0.15	0.08	36	6	3	6510302872																	Invalid	Invalid																									EyesNotFound	1792	1														
106	99331884	Eye Tracker	MiniVLAT	18.03.2026	Participant26	Recording12	18.03.2026	18.03.2026	14:28:56.583	13:28:56.583	213951	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	9.9	1.6	0.9	0.96	0.15	0.08	36	6	3	6510311205																	Invalid	Invalid																									EyesNotFound	1792	1														
114	99331892	Eye Tracker	MiniVLAT	18.03.2026	Participant26	Recording12	18.03.2026	18.03.2026	14:28:56.583	13:28:56.583	213951	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	9.9	1.6	0.9	0.96	0.15	0.08	36	6	3	6510319536																	Invalid	Invalid																									EyesNotFound	1792	1														
123	99331901	Eye Tracker	MiniVLAT	18.03.2026	Participant26	Recording12	18.03.2026	18.03.2026	14:28:56.583	13:28:56.583	213951	MiniVLAT	Tobii I-VT (Fixation)	1.130.24185	1080	1920	10.00	9.9	1.6	0.9	0.96	0.15	0.08	36	6	3	6510327867																	Invalid	Invalid																									EyesNotFound	1792	1														
