background,grid_0_0,grid_0_3,grid_1_0,grid_1_1,grid_1_2,grid_2_0,grid_2_1,grid_2_2,grid_3_1,grid_3_2,question,Participant,Question
0,1,0,0,1,0,0,2,0,1,2,2,Participant10,12
1,0,0,2,0,1,0,0,0,0,0,0,Participant10,12
1,0,0,0,0,0,0,0,0,0,0,0,Participant10,12
1,1,0,0,0,0,0,0,0,1,0,0,Participant10,12
0,0,0,0,0,1,0,0,0,0,0,0,Participant10,12
2,1,1,0,0,0,1,0,1,0,0,0,Participant10,12
0,1,0,0,0,0,0,0,0,0,0,0,Participant10,12
0,0,0,0,0,1,0,0,0,1,0,0,Participant10,12
1,0,0,1,0,0,0,0,0,0,0,0,Participant10,12
2,0,0,0,0,1,0,0,1,0,0,0,Participant10,12
0,0,0,0,0,1,0,0,0,1,0,0,Participant10,12
2,0,0,0,0,0,0,0,0,0,0,0,Participant10,12
