regionid,fixation_count,dwell_time,mean_duration
1,0,0.0,0.0
2,0,0.0,0.0
3,0,0.0,0.0
4,0,0.0,0.0
5,0,0.0,0.0
6,3,709.0,236.33333333333334
7,0,0.0,0.0
8,5,1667.0,333.4
9,20,4308.0,215.4
10,8,1984.0,248.0
11,8,2342.0,292.75
12,1,150.0,150.0
13,0,0.0,0.0
14,4,708.0,177.0
15,3,926.0,308.6666666666667
16,0,0.0,0.0
17,6,2058.0,343.0
18,0,0.0,0.0
19,0,0.0,0.0
20,0,0.0,0.0
21,4,1266.0,316.5
22,4,734.0,183.5
23,0,0.0,0.0
24,0,0.0,0.0
25,0,0.0,0.0
26,0,0.0,0.0
27,2,942.0,471.0
28,6,1557.0,259.5
29,0,0.0,0.0
30,0,0.0,0.0
31,0,0.0,0.0
32,0,0.0,0.0
33,0,0.0,0.0
34,0,0.0,0.0
35,0,0.0,0.0
36,0,0.0,0.0
