t,x,y
209499894,0.6252,0.4149
209774894,0.4815,0.3512
210021308,0.4337,0.1863
210191560,0.3978,0.1796
210324894,0.4519,0.1893
210541559,0.4911,0.1887
210724892,0.5204,0.1905
210941559,0.5406,0.1893
211108225,0.5571,0.1856
211405294,0.4615,0.2277
211566558,0.4434,0.224
211997407,0.6034,0.333
212174891,0.5916,0.306
212399889,0.5918,0.3272
213091555,0.5054,0.6315
213221303,0.5004,0.5899
213499925,0.4364,0.5891
213883287,0.4467,0.5565
214308286,0.4329,0.3961
214949300,0.4377,0.3782
215266617,0.4426,0.3628
215533284,0.5931,0.3326
216191616,0.4351,0.3806
218099945,0.5715,0.3303
218274945,0.5177,0.2785
218416611,0.3893,0.4138
218683277,0.387,0.3773
219258275,0.4428,0.3936
219491607,0.4285,0.3828
219621301,0.3893,0.3793
220324938,0.4593,0.6465
220474938,0.4887,0.6889
220824937,0.4938,0.7518
221049936,0.4915,0.7819
221216602,0.4935,0.8097
221524935,0.3958,0.5177
221858268,0.3512,0.3129
222083266,0.3609,0.2779
222458266,0.3933,0.3978
222565292,0.3835,0.3863
222933265,0.4853,0.6888
223249931,0.495,0.696
223466597,0.4949,0.8051
223733263,0.4988,0.8283
223899930,0.4847,0.8577
224091596,0.4483,0.3834
224474928,0.4362,0.3833
224591595,0.4535,0.2327
224758262,0.4444,0.2224
224916594,0.4828,0.2135
225149311,0.5173,0.2094
225374926,0.4471,0.4034
225616593,0.4363,0.3859
226208259,0.4507,0.5986
226316592,0.4358,0.5936
226605294,0.4463,0.5325
226773317,0.5981,0.3818
227183257,0.5742,0.2374
227308257,0.4608,0.2155
227583256,0.4902,0.7534
227974922,0.4935,0.851
228241588,0.4895,0.7995
228599922,0.4623,0.4079
228933255,0.3821,0.3673
229324921,0.3776,0.2375
229558255,0.3583,0.2675
230141588,0.4074,0.6063
230491588,0.4047,0.5805
230683255,0.3919,0.5603
231058255,0.4982,0.2345
231233255,0.5061,0.2132
231408254,0.4583,0.2141
231699921,0.4761,0.3154
231866588,0.4993,0.2257
232208255,0.5245,0.2184
232416588,0.4774,0.2149
232658254,0.4996,0.2143
232783255,0.5307,0.2146
233141588,0.6003,0.2901
233533254,0.5056,0.7039
