answers,background,grid_0_0,grid_0_1,grid_0_2,grid_1_1,grid_3_0,grid_3_1,grid_3_2,grid_3_3,question,Participant,Question
0,1,0,1,0,0,0,0,1,0,0,Participant13,12
2,0,1,0,0,0,0,1,1,0,8,Participant13,12
0,1,0,0,0,0,0,0,0,0,0,Participant13,12
0,0,0,0,0,0,0,0,0,0,1,Participant13,12
0,0,0,0,0,0,0,0,0,0,1,Participant13,12
0,2,0,0,1,0,0,0,0,0,0,Participant13,12
0,0,0,0,0,0,0,0,1,0,0,Participant13,12
0,0,0,0,0,0,1,0,0,0,0,Participant13,12
0,1,0,0,0,1,0,0,0,1,0,Participant13,12
0,1,0,0,0,0,0,0,0,0,0,Participant13,12
1,7,0,0,0,2,0,0,0,0,0,Participant13,12
