answers,background,grid_0_0,grid_0_1,grid_0_2,grid_0_3,grid_1_0,grid_1_1,grid_1_2,grid_1_3,grid_2_0,grid_2_1,grid_2_2,grid_3_0,grid_3_1,Participant,Question
0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Participant16,12
2,0,2,0,0,0,2,0,0,0,0,1,0,0,0,Participant16,12
0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,Participant16,12
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,Participant16,12
0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,Participant16,12
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Participant16,12
0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,Participant16,12
0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,Participant16,12
0,1,0,0,2,0,0,2,0,0,0,0,0,0,1,Participant16,12
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Participant16,12
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Participant16,12
0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,Participant16,12
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Participant16,12
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Participant16,12
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Participant16,12
