answers,background,grid_0_1,grid_0_2,grid_0_3,grid_1_0,grid_1_1,grid_1_2,grid_2_2,grid_3_2,grid_3_3,question,Participant,Question
0,0,0,0,0,0,0,0,1,0,2,0,Participant18,12
0,0,0,6,1,0,0,0,0,1,0,6,Participant18,12
0,1,0,2,0,0,0,0,0,0,0,0,Participant18,12
0,6,1,0,1,0,0,1,0,0,1,0,Participant18,12
0,0,1,1,0,0,0,0,0,0,0,0,Participant18,12
0,0,0,0,0,0,1,0,0,0,0,0,Participant18,12
0,0,0,0,0,0,0,1,0,0,1,0,Participant18,12
0,0,0,0,0,1,1,0,0,1,0,0,Participant18,12
0,1,0,0,0,0,0,0,0,0,0,0,Participant18,12
0,0,0,1,0,0,0,0,0,0,1,0,Participant18,12
2,1,1,0,0,0,0,1,0,0,0,0,Participant18,12
0,6,0,0,0,0,0,0,0,0,0,0,Participant18,12
