answers,background,grid_0_0,grid_0_1,grid_0_2,grid_1_1,grid_1_2,grid_2_2,grid_3_2,grid_5_0,grid_5_1,grid_5_2,grid_5_3,question,Participant,Question
0,2,0,1,0,0,0,0,0,0,0,0,0,0,Participant20,12
0,0,1,0,1,2,1,0,1,0,0,2,0,10,Participant20,12
0,2,0,0,0,0,0,0,0,0,0,0,0,0,Participant20,12
0,2,0,0,0,0,0,0,0,0,0,0,0,0,Participant20,12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,Participant20,12
0,1,0,1,0,0,0,0,0,0,0,0,0,0,Participant20,12
0,1,0,0,0,0,0,0,0,1,0,0,0,0,Participant20,12
0,0,0,0,0,0,1,0,0,0,0,0,0,0,Participant20,12
0,0,1,0,0,0,0,0,0,0,0,0,0,0,Participant20,12
0,1,0,0,0,0,0,0,0,0,0,0,1,0,Participant20,12
0,0,0,0,0,0,0,0,0,1,0,0,0,0,Participant20,12
0,0,0,0,0,0,0,1,0,0,1,0,0,0,Participant20,12
0,1,0,0,0,0,0,0,0,0,0,0,0,0,Participant20,12
1,8,0,0,0,0,0,0,0,0,0,0,0,0,Participant20,12
