t,x,y
242994,0.509,0.1714
243043,0.5497,0.1609
243327,0.5155,0.1681
243552,0.4933,0.2224
243710,0.5582,0.189
243885,0.3336,0.1392
245460,0.5616,0.1581
245648,0.526,0.2168
245852,0.4454,0.1775
245968,0.4574,0.2286
246176,0.4278,0.138
246727,0.4579,0.1424
246976,0.5049,0.1671
247210,0.5363,0.1654
247510,0.5601,0.1649
247702,0.577,0.1727
247977,0.5585,0.1677
248243,0.5132,0.4715
248418,0.5669,0.4001
248527,0.5964,0.3079
248935,0.6073,0.3648
249200,0.5955,0.3004
249543,0.6037,0.3037
250200,0.5893,0.3056
250868,0.5511,0.3463
251193,0.5525,0.3656
251493,0.5429,0.6052
251735,0.5323,0.5784
251910,0.4547,0.5789
252268,0.4705,0.5913
252600,0.5001,0.5805
252902,0.4007,0.5705
253184,0.421,0.5747
253452,0.439,0.5744
253910,0.4389,0.5334
254110,0.4417,0.3854
254477,0.4469,0.3647
254752,0.4049,0.3505
255027,0.4416,0.3699
255394,0.3897,0.361
256019,0.4429,0.362
256802,0.4901,0.7253
257064,0.495,0.7962
257394,0.4976,0.6824
257744,0.4928,0.6652
257885,0.3752,0.2783
258010,0.3557,0.2397
258840,0.3654,0.2523
258985,0.4842,0.7288
259202,0.4929,0.7581
259435,0.4948,0.6877
259577,0.4964,0.721
259810,0.4949,0.6237
259919,0.4581,0.5057
260094,0.3689,0.266
260285,0.4407,0.356
260577,0.4547,0.3677
260710,0.398,0.4146
260894,0.3966,0.3791
261052,0.3959,0.3406
261377,0.4464,0.3485
261808,0.3813,0.2541
261976,0.3672,0.237
262319,0.364,0.2761
262616,0.6291,0.3126
262835,0.6125,0.3193
263010,0.5196,0.5949
263244,0.5116,0.5684
263456,0.4751,0.5879
263652,0.5094,0.8092
263835,0.505,0.793
264227,0.5065,0.7315
264393,0.4535,0.337
264710,0.5801,0.2431
264818,0.6221,0.1548
264952,0.6704,0.1266
265127,0.4958,0.3715
265385,0.5096,0.8448
265543,0.5018,0.772
265918,0.4402,0.4213
266135,0.4464,0.3627
266368,0.4405,0.3429
266560,0.4631,0.3642
267027,0.4071,0.3627
267477,0.4995,0.7533
