Participant,Question_ID,Question_Label,Duration_sec,Saccade_Count,Saccades_per_min,Scanpath_Length_norm,Scanpath_per_min_norm,Vertical_Ratio,Regression_Rate,Directional_Entropy,Plot_Path
Participant4,1,Question 1 – Treemap ([2001:7c0:2320:2:f816:3eff:fe26:d8f1]),22.387,76,203.68964130968865,8.893097476023856,23.83462940820259,0.6651392485487283,0.47368421052631576,2.890746101112552,C:\Users\poslu\Dokuments\Sopra\Eyetracking-Visualization-Literacy\results\testA\strategy_outputs\Participant4\Participant4_Q1_timecoded_scanpath.png
Participant4,2,Question 2 – Histogram ([2001:7c0:2320:2:f816:3eff:fe26:d8f1]),13.657,50,219.6675697444534,5.6496830337155295,24.821042836855224,0.7793451203164646,0.52,2.7830279236555224,C:\Users\poslu\Dokuments\Sopra\Eyetracking-Visualization-Literacy\results\testA\strategy_outputs\Participant4\Participant4_Q2_timecoded_scanpath.png
Participant4,3,Question 3 – 100% Stacked ([2001:7c0:2320:2:f816:3eff:fe26:d8f1]),16.78,61,218.11680572109654,6.384741999744202,22.82982836618904,0.6355438662407563,0.4426229508196721,2.9628397022611312,C:\Users\poslu\Dokuments\Sopra\Eyetracking-Visualization-Literacy\results\testA\strategy_outputs\Participant4\Participant4_Q3_timecoded_scanpath.png
Participant4,4,Question 4 – Map ([2001:7c0:2320:2:f816:3eff:fe26:d8f1]),21.235,76,214.73981634094656,8.200296531991603,23.1701338318576,0.5815882316531616,0.3815789473684211,2.849694735930618,C:\Users\poslu\Dokuments\Sopra\Eyetracking-Visualization-Literacy\results\testA\strategy_outputs\Participant4\Participant4_Q4_timecoded_scanpath.png
Participant4,5,Question 5 – Pie ([2001:7c0:2320:2:f816:3eff:fe26:d8f1]),25.239,80,190.1818614049685,10.724444400143913,25.494934981918252,0.7510348146959128,0.4625,2.8985959877501495,C:\Users\poslu\Dokuments\Sopra\Eyetracking-Visualization-Literacy\results\testA\strategy_outputs\Participant4\Participant4_Q5_timecoded_scanpath.png
Participant4,6,Question 6 – Bubble ([2001:7c0:2320:2:f816:3eff:fe26:d8f1]),23.649,86,218.1910440187746,7.0503297652512575,17.887428048335043,0.5680919369096253,0.4186046511627907,2.9362244756345657,C:\Users\poslu\Dokuments\Sopra\Eyetracking-Visualization-Literacy\results\testA\strategy_outputs\Participant4\Participant4_Q6_timecoded_scanpath.png
Participant4,7,Question 7 – StackedBar ([2001:7c0:2320:2:f816:3eff:fe26:d8f1]),25.464,88,207.35155513666353,10.099588670077043,23.79733428387616,0.6756869206316944,0.4431818181818182,2.9795350907500864,C:\Users\poslu\Dokuments\Sopra\Eyetracking-Visualization-Literacy\results\testA\strategy_outputs\Participant4\Participant4_Q7_timecoded_scanpath.png
Participant4,8,Question 8 – Line ([2001:7c0:2320:2:f816:3eff:fe26:d8f1]),25.448,95,223.98616787173845,8.280662659676198,19.523725227152305,0.6378726782691602,0.4631578947368421,2.9187616226612265,C:\Users\poslu\Dokuments\Sopra\Eyetracking-Visualization-Literacy\results\testA\strategy_outputs\Participant4\Participant4_Q8_timecoded_scanpath.png
Participant4,9,Question 9 – Bar ([2001:7c0:2320:2:f816:3eff:fe26:d8f1]),14.971,45,180.34867410326632,4.2346316723029895,16.97133794256759,0.6769046586990574,0.4888888888888889,2.8794535990623014,C:\Users\poslu\Dokuments\Sopra\Eyetracking-Visualization-Literacy\results\testA\strategy_outputs\Participant4\Participant4_Q9_timecoded_scanpath.png
Participant4,10,Question 10 – Area ([2001:7c0:2320:2:f816:3eff:fe26:d8f1]),19.35,62,192.24806201550388,7.282358463088542,22.580956474693153,0.6306436292367792,0.46774193548387094,2.931536325117232,C:\Users\poslu\Dokuments\Sopra\Eyetracking-Visualization-Literacy\results\testA\strategy_outputs\Participant4\Participant4_Q10_timecoded_scanpath.png
