answers,background,grid_0_0,grid_0_1,grid_0_3,grid_1_0,grid_1_1,grid_2_0,grid_2_1,grid_3_1,grid_3_2,grid_3_3,question,Participant,Question
0,1,0,0,1,0,0,0,0,0,0,0,0,Participant38,12
1,0,0,0,0,0,0,0,0,1,1,0,6,Participant38,12
1,1,0,0,0,0,0,0,0,0,0,0,0,Participant38,12
0,1,0,0,0,0,0,1,0,0,0,0,0,Participant38,12
0,1,0,0,0,0,0,0,0,0,0,0,0,Participant38,12
0,0,1,0,0,0,0,0,0,0,0,0,0,Participant38,12
0,1,0,0,0,0,0,0,0,0,0,0,0,Participant38,12
0,0,0,0,0,1,0,0,0,1,0,0,0,Participant38,12
0,0,0,0,0,0,0,0,0,1,0,0,0,Participant38,12
0,1,0,0,0,0,0,1,0,0,0,1,1,Participant38,12
0,0,0,0,0,0,0,0,0,1,0,0,1,Participant38,12
0,0,0,0,0,0,0,0,0,0,1,0,0,Participant38,12
0,3,1,2,0,0,1,0,1,0,0,0,0,Participant38,12
