t,x,y
159696,0.548,0.4203
160054,0.4089,0.1807
160188,0.3669,0.1285
160446,0.3879,0.1282
160738,0.422,0.1333
160954,0.4518,0.1361
161271,0.4883,0.1376
161538,0.5101,0.1393
161871,0.5513,0.1389
162113,0.5621,0.1395
162288,0.5296,0.1397
162604,0.6068,0.1385
163229,0.6472,0.1403
163713,0.6701,0.1405
163954,0.4911,0.1541
164246,0.5123,0.1696
164413,0.3708,0.1348
164621,0.3602,0.132
164813,0.4109,0.1308
165088,0.4632,0.1364
165304,0.5085,0.138
165529,0.5471,0.1385
165721,0.501,0.1346
166054,0.5477,0.1412
166196,0.549,0.3613
166429,0.5361,0.5408
166804,0.523,0.4759
167079,0.5255,0.7531
167196,0.5052,0.7051
167571,0.5492,0.4883
167846,0.56,0.5278
168071,0.5299,0.5292
168363,0.4894,0.5336
168563,0.5289,0.5117
168738,0.5118,0.4571
169021,0.5394,0.4479
169354,0.5003,0.8082
169463,0.5076,0.769
169971,0.4998,0.7318
170254,0.4972,0.8187
170554,0.4996,0.7232
170971,0.5003,0.7643
171154,0.5264,0.7295
171346,0.5683,0.4938
171629,0.537,0.7669
172004,0.5082,0.8843
172579,0.5475,0.6069
172704,0.5668,0.4556
172921,0.5409,0.4492
173496,0.6646,0.7243
173846,0.5148,0.9175
174038,0.4893,0.4033
174271,0.5355,0.5041
174696,0.5563,0.369
