t,x,y
155513,0.4305,0.2313
155607,0.5057,0.9351
155865,0.4806,0.4046
156082,0.4814,0.1765
156265,0.4376,0.1779
156407,0.3898,0.1481
156557,0.4278,0.146
156773,0.4556,0.1482
156990,0.4817,0.1382
157190,0.5051,0.1455
157390,0.5256,0.1449
157598,0.5401,0.1472
157723,0.5696,0.1491
158015,0.596,0.1531
158173,0.581,0.1533
158323,0.6058,0.1492
158532,0.623,0.1473
159065,0.608,0.1492
159207,0.5782,0.1495
159723,0.5914,0.1433
159890,0.6104,0.1437
160082,0.5142,0.1856
160240,0.4857,0.1914
160398,0.46,0.1949
160573,0.4851,0.198
160748,0.5333,0.2373
160965,0.4439,0.1495
161190,0.4665,0.1486
161365,0.3928,0.2318
161590,0.3536,0.2858
161782,0.3533,0.3994
161932,0.3581,0.4371
162115,0.3569,0.4119
162290,0.4833,0.5732
162415,0.4675,0.5953
162623,0.3948,0.5652
162723,0.3845,0.4952
163082,0.3575,0.4149
163298,0.4943,0.6731
163398,0.4936,0.6476
163507,0.5397,0.6461
163682,0.5549,0.644
163890,0.5787,0.5911
164107,0.5687,0.3451
164262,0.5882,0.3277
164390,0.5923,0.3054
164678,0.6122,0.3013
164823,0.5864,0.3106
165423,0.5173,0.799
165573,0.4959,0.7955
165740,0.4944,0.722
166014,0.5096,0.7445
166923,0.4997,0.9158
167657,0.499,0.7404
168040,0.6344,0.7585
168182,0.5146,0.9313
168490,0.4927,0.945
168673,0.5046,0.9472
168915,0.4563,0.2714
