answers,background,grid_0_2,grid_1_0,grid_1_1,grid_1_2,grid_1_3,grid_2_1,grid_2_2,grid_2_3,grid_3_0,grid_3_1,grid_3_2,grid_3_3,question,Participant,Question
0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,Participant61,12
2,0,1,0,0,0,0,0,2,0,0,0,0,0,7,Participant61,12
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Participant61,12
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Participant61,12
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Participant61,12
1,3,0,0,0,0,0,0,1,2,0,1,0,0,2,Participant61,12
0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,Participant61,12
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Participant61,12
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,Participant61,12
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Participant61,12
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Participant61,12
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Participant61,12
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Participant61,12
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Participant61,12
0,5,0,0,0,2,1,1,0,0,0,0,0,0,0,Participant61,12
