t,x,y
245291,0.5846,0.3147
245583,0.5196,0.3091
245741,0.5016,0.3004
245883,0.4442,0.2504
246083,0.5139,0.2825
246275,0.554,0.2886
246525,0.5888,0.2887
246725,0.6268,0.2844
247033,0.5784,0.3799
247266,0.5517,0.5738
247441,0.5546,0.6068
247783,0.5695,0.6162
248158,0.5248,0.5975
248799,0.5278,0.571
248974,0.5293,0.4652
249399,0.4445,0.4579
249749,0.4198,0.4526
250033,0.3752,0.3313
250541,0.4765,0.7059
250813,0.505,0.7307
251033,0.4965,0.6966
251308,0.514,0.6892
252266,0.5041,0.8733
252549,0.5447,0.6243
252966,0.5935,0.6251
253291,0.5822,0.3289
253441,0.5605,0.3088
